"Electricity statistics (MW/GWh) by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area","Technology","Data Type","Grid connection","Year",Electricity statistics (MW/GWh)
"Afghanistan","Fossil fuels n.e.s.","Electricity Generation (GWh)","All","2020",25.89
"Afghanistan","Fossil fuels n.e.s.","Electricity Generation (GWh)","On-grid","2020",-
"Afghanistan","Fossil fuels n.e.s.","Electricity Generation (GWh)","Off-grid","2020",25.89
"Afghanistan","Fossil fuels n.e.s.","Electricity Installed Capacity (MW)","All","2020",97.48
"Afghanistan","Fossil fuels n.e.s.","Electricity Installed Capacity (MW)","On-grid","2020",-
"Afghanistan","Fossil fuels n.e.s.","Electricity Installed Capacity (MW)","Off-grid","2020",97.48
"Afghanistan","Nuclear","Electricity Generation (GWh)","All","2020",-
"Afghanistan","Nuclear","Electricity Generation (GWh)","On-grid","2020",-
"Afghanistan","Nuclear","Electricity Generation (GWh)","Off-grid","2020",-
"Afghanistan","Nuclear","Electricity Installed Capacity (MW)","All","2020",-
"Afghanistan","Nuclear","Electricity Installed Capacity (MW)","On-grid","2020",-
"Afghanistan","Nuclear","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Afghanistan","Other non-renewable energy","Electricity Generation (GWh)","All","2020",-
"Afghanistan","Other non-renewable energy","Electricity Generation (GWh)","On-grid","2020",-
"Afghanistan","Other non-renewable energy","Electricity Generation (GWh)","Off-grid","2020",-
"Afghanistan","Other non-renewable energy","Electricity Installed Capacity (MW)","All","2020",-
"Afghanistan","Other non-renewable energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Afghanistan","Other non-renewable energy","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Albania","Total Renewable","Electricity Generation (GWh)","All","2020",5313.17
"Albania","Total Renewable","Electricity Generation (GWh)","On-grid","2020",5313.17
"Albania","Total Renewable","Electricity Generation (GWh)","Off-grid","2020",-
"Albania","Total Renewable","Electricity Installed Capacity (MW)","All","2020",2409.43
"Albania","Total Renewable","Electricity Installed Capacity (MW)","On-grid","2020",2409.43
"Albania","Total Renewable","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Albania","Solar photovoltaic","Electricity Generation (GWh)","All","2020",32.27
"Albania","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2020",32.27
"Albania","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2020",-
"Albania","Solar photovoltaic","Electricity Installed Capacity (MW)","All","2020",21.00
"Albania","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2020",21.00
"Albania","Solar photovoltaic","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Albania","Solar thermal energy","Electricity Generation (GWh)","All","2020",-
"Albania","Solar thermal energy","Electricity Generation (GWh)","On-grid","2020",-
"Albania","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2020",-
"Albania","Solar thermal energy","Electricity Installed Capacity (MW)","All","2020",-
"Albania","Solar thermal energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Albania","Solar thermal energy","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Albania","Onshore wind energy","Electricity Generation (GWh)","All","2020",-
